S4JobIndustry,S4EdExpected,S4OCC30EARN,S4JOBSECURE,S4JOBBALANCE,S4JOBCONTRIB,S4JOBDECISION,S4LOCATION,S4JOBTEAMWRK,S4ParEd,X4X2SES,X4HSCOMPSTAT,X4LOCALE,X4REGION,X4ATPRLVLA,X4PSLFSTFB16,Weight
Education,More than a bachelor's degree,80000,More important than salary,More important than salary,More important than salary,Equally important,More important than salary,Equally important,More than a bachelor's degree,-0.1687,Diploma,Rural,South,"No degree, enrolled at less-than-4-year",Enrolled in postsecondary education and employed part-time,337.849348553062
Military and protective services,Don't know,75000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,Bachelor's degree,0.7108,Diploma,Suburb,Northeast,"No degree, enrolled at less-than-4-year",Enrolled in postsecondary education and not in the labor force,47.7640354069246
Business and Management,Bachelor's degree,30000,Equally important,Equally important,Equally important,Equally important,Less important than salary,Equally important,Some college,-0.3638,Diploma,City,South,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,462.711581184877
Don't Know,Some college,50000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,"High school diploma, equivalent, or less",-0.2715,Diploma,Suburb,Northeast,"No degree, not enrolled",Not enrolled in postsecondary education and employed full-time,39.5196609832967
Service,Bachelor's degree,80000,More important than salary,More important than salary,More important than salary,More important than salary,Less important than salary,Equally important,Less than high school,-0.5789,Diploma,City,South,"No degree, enrolled at less-than-4-year",Enrolled in postsecondary education and unemployed,345.134950592487
Business and Management,More than a bachelor's degree,65000,Equally important,More important than salary,More important than salary,Equally important,Equally important,Equally important,Associate's degree,-0.1535,Diploma,Suburb,West,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,68.3744209581335
Don't Know,More than a bachelor's degree,100000,Equally important,Less important than salary,Equally important,More important than salary,Equally important,Equally important,More than a bachelor's degree,1.5395,Diploma,Suburb,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,94.9693305127176
Military and protective services,Bachelor's degree,20000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,Less than high school,-1.2554,Diploma,Suburb,Northeast,Attained associate's degree,Not enrolled in postsecondary education and employed full-time,617.733152213779
Trades and technical,Don't know,50000,Equally important,More important than salary,Equally important,More important than salary,More important than salary,Less important than salary,Associate's degree,-0.0411,No HS credential,Town,Midwest,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,331.188830837528
Trades and technical,Associate's degree,40000,Equally important,Equally important,Equally important,Equally important,Equally important,Less important than salary,Associate's degree,-0.0722,Diploma,Suburb,Midwest,"No degree, not enrolled",Not enrolled in postsecondary education and employed part-time,182.763732160925
Healthcare,Don't know,15000,Equally important,More important than salary,Equally important,More important than salary,Equally important,Equally important,"High school diploma, equivalent, or less",-0.0703,Diploma,Rural,Northeast,Attained associate's degree,Not enrolled in postsecondary education and employed full-time,263.47371415299
Healthcare,More than a bachelor's degree,70000,Equally important,More important than salary,More important than salary,Equally important,Equally important,Equally important,Bachelor's degree,-0.1503,Diploma,Rural,South,Attained certificate,Enrolled in postsecondary education and not in the labor force,233.621631273136
Don't Know,Bachelor's degree,100000,Equally important,Less important than salary,Less important than salary,Less important than salary,Equally important,Less important than salary,More than a bachelor's degree,0.614,Diploma,Town,West,"No degree, enrolled at less-than-4-year",Enrolled in postsecondary education and employed part-time,214.934198940863
Healthcare,More than a bachelor's degree,90000,Equally important,Less important than salary,Less important than salary,Equally important,Less important than salary,Less important than salary,Bachelor's degree,0.7188,Diploma,Suburb,Midwest,"No degree, enrolled at less-than-4-year",Enrolled in postsecondary education and not in the labor force,31.2176295373464
Don't Know,More than a bachelor's degree,75000,More important than salary,Equally important,Equally important,Less important than salary,Equally important,Less important than salary,"High school diploma, equivalent, or less",-0.5769,Diploma,City,Midwest,"No degree, not enrolled",Not enrolled in postsecondary education and employed full-time,82.9949393814624
Other,Some college,40000,Equally important,Equally important,Equally important,Equally important,Less important than salary,Equally important,"High school diploma, equivalent, or less",-0.711,Diploma,Town,South,Attained certificate,Not enrolled in postsecondary education and employed full-time,314.854737272832
Healthcare,More than a bachelor's degree,70000,Equally important,Less important than salary,More important than salary,Less important than salary,Equally important,Less important than salary,More than a bachelor's degree,0.5592,Diploma,City,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,169.674768796501
Education,Associate's degree,50000,Equally important,More important than salary,Equally important,Equally important,Equally important,Equally important,"High school diploma, equivalent, or less",-0.6599,Diploma,Rural,South,Item legitimate skip/NA,Not enrolled in postsecondary education and not in the labor force,302.845501511752
STEM,More than a bachelor's degree,5000,Equally important,Equally important,Equally important,Equally important,Equally important,Less important than salary,Bachelor's degree,0.255,Diploma,City,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,42.7500737744012
